x,t=2.00e+07s,t=3.98e+08s,t=7.77e+08s,t=1.16e+09s
2.822822822822822933e-06,1.299676888991775687e+24,6.518585385197813849e+23,3.349781467650854423e+23,1.708906855987632522e+23
2.842842842842842990e-06,1.299677809760086660e+24,6.519240917476899123e+23,3.350144700105694569e+23,1.709101893525687606e+23
2.862862862862863047e-06,1.299678717053904915e+24,6.519881977418061563e+23,3.350499571132788973e+23,1.709292305316263798e+23
2.882882882882883103e-06,1.299679611086542687e+24,6.520508959007113656e+23,3.350846321067816408e+23,1.709478229615933737e+23
2.902902902902903160e-06,1.299680492066171672e+24,6.521122242819871358e+23,3.351185181582665733e+23,1.709659799483583520e+23
2.922922922922922794e-06,1.299681360195970935e+24,6.521722196554881696e+23,3.351516376051539583e+23,1.709837143010198149e+23
2.942942942942942850e-06,1.299682215674268107e+24,6.522309175541895895e+23,3.351840119899335269e+23,1.710010383537031443e+23
2.962962962962962907e-06,1.299683058694675751e+24,6.522883523227328195e+23,3.352156620933269941e+23,1.710179639862784856e+23
2.982982982982982964e-06,1.299683889446229335e+24,6.523445571637964670e+23,3.352466079658678126e+23,1.710345026440442140e+23
3.003003003003003021e-06,1.299684708113510448e+24,6.523995641823869660e+23,3.352768689579761441e+23,1.710506653564297051e+23
3.023023023023023078e-06,1.299685514876777258e+24,6.524534044281649423e+23,3.353064637486157540e+23,1.710664627547764320e+23
3.043043043043043135e-06,1.299686309912074567e+24,6.525061079358966921e+23,3.353354103726031577e+23,1.710819050892449368e+23
3.063063063063063192e-06,1.299687093391361055e+24,6.525577037641308994e+23,3.353637262466427063e+23,1.710970022448955570e+23
3.083083083083083248e-06,1.299687865482610746e+24,6.526082200321817942e+23,3.353914281941517656e+23,1.711117637569913605e+23
3.103103103103103305e-06,1.299688626349929507e+24,6.526576839554995501e+23,3.354185324689381329e+23,1.711261988255600308e+23
3.123123123123123362e-06,1.299689376153651154e+24,6.527061218795203980e+23,3.354450547777949873e+23,1.711403163292600348e+23
3.143143143143143419e-06,1.299690115050447233e+24,6.527535593120490691e+23,3.354710103020598135e+23,1.711541248385852983e+23
3.163163163163163052e-06,1.299690843193419372e+24,6.528000209542633583e+23,3.354964137181983686e+23,1.711676326284438903e+23
3.183183183183183109e-06,1.299691560732193223e+24,6.528455307303938247e+23,3.355212792174569083e+23,1.711808476901448740e+23
3.203203203203203166e-06,1.299692267813011083e+24,6.528901118161489588e+23,3.355456205246361607e+23,1.711937777428245638e+23
3.223223223223223223e-06,1.299692964578825031e+24,6.529337866659415175e+23,3.355694509160236193e+23,1.712064302443400727e+23
3.243243243243243280e-06,1.299693651169367533e+24,6.529765770389769599e+23,3.355927832365342885e+23,1.712188124016596432e+23
3.263263263263263336e-06,1.299694327721255057e+24,6.530185040242486815e+23,3.356156299160911515e+23,1.712309311807755324e+23
3.283283283283283393e-06,1.299694994368051959e+24,6.530595880645011125e+23,3.356380029852911980e+23,1.712427933161622350e+23
3.303303303303303450e-06,1.299695651240355310e+24,6.530998489792025587e+23,3.356599140903840551e+23,1.712544053198073564e+23
3.323323323323323507e-06,1.299696298465864955e+24,6.531393059865785176e+23,3.356813745076042937e+23,1.712657734898318804e+23
3.343343343343343564e-06,1.299696936169464855e+24,6.531779777247349991e+23,3.357023951568811653e+23,1.712769039187247628e+23
3.363363363363363621e-06,1.299697564473281598e+24,6.532158822719384212e+23,3.357229866149644914e+23,1.712878025012094991e+23
3.383383383383383254e-06,1.299698183496762252e+24,6.532530371660636247e+23,3.357431591279863026e+23,1.712984749417609885e+23
3.403403403403403311e-06,1.299698793356738249e+24,6.532894594232628879e+23,3.357629226234935247e+23,1.713089267617913163e+23
3.423423423423423368e-06,1.299699394167483367e+24,6.533251655558915099e+23,3.357822867219676848e+23,1.713191633065185473e+23
3.443443443443443425e-06,1.299699986040785404e+24,6.533601715897169389e+23,3.358012607478647897e+23,1.713291897515384955e+23
3.463463463463463481e-06,1.299700569085998524e+24,6.533944930804443298e+23,3.358198537401916824e+23,1.713390111091079931e+23
3.483483483483483538e-06,1.299701143410103651e+24,6.534281451295906097e+23,3.358380744626455875e+23,1.713486322341590860e+23
3.503503503503503595e-06,1.299701709117768063e+24,6.534611423997402011e+23,3.358559314133318107e+23,1.713580578300551286e+23
3.523523523523523652e-06,1.299702266311396129e+24,6.534934991292011957e+23,3.358734328340834146e+23,1.713672924541001201e+23
3.543543543543543709e-06,1.299702815091182189e+24,6.535252291460900281e+23,3.358905867193982407e+23,1.713763405228151386e+23
3.563563563563563766e-06,1.299703355555166923e+24,6.535563458818756554e+23,3.359074008250160932e+23,1.713852063169913364e+23
3.583583583583583822e-06,1.299703887799281380e+24,6.535868623844020322e+23,3.359238826761442726e+23,1.713938939865327510e+23
3.603603603603603879e-06,1.299704411917400123e+24,6.536167913304075377e+23,3.359400395753535371e+23,1.714024075550932924e+23
3.623623623623623513e-06,1.299704928001384180e+24,6.536461450375715535e+23,3.359558786101600626e+23,1.714107509245253224e+23
3.643643643643643569e-06,1.299705436141129365e+24,6.536749354761025539e+23,3.359714066602999761e+23,1.714189278791413363e+23
3.663663663663663626e-06,1.299705936424610029e+24,6.537031742798838146e+23,3.359866304047219653e+23,1.714269420898034427e+23
3.683683683683683683e-06,1.299706428937923893e+24,6.537308727572094884e+23,3.360015563282976950e+23,1.714347971178421184e+23
3.703703703703703740e-06,1.299706913765325330e+24,6.537580419011109150e+23,3.360161907282731839e+23,1.714424964188194724e+23
3.723723723723723797e-06,1.299707390989278516e+24,6.537846923992985302e+23,3.360305397204652340e+23,1.714500433461382260e+23
3.743743743743743854e-06,1.299707860690487231e+24,6.538108346437400464e+23,3.360446092452194901e+23,1.714574411545053359e+23
3.763763763763763911e-06,1.299708322947936996e+24,6.538364787398789279e+23,3.360584050731342889e+23,1.714646930032585804e+23
3.783783783783783967e-06,1.299708777838928632e+24,6.538616345155177263e+23,3.360719328105700283e+23,1.714718019595595657e+23
3.803803803803804024e-06,1.299709225439120404e+24,6.538863115293745941e+23,3.360851979049387552e+23,1.714787710014597282e+23
3.823823823823823658e-06,1.299709665822555939e+24,6.539105190793277436e+23,3.360982056498014192e+23,1.714856030208476892e+23
3.843843843843844138e-06,1.299710099061703950e+24,6.539342662103619412e+23,3.361109611897637327e+23,1.714923008262786316e+23
3.863863863863863771e-06,1.299710525227486964e+24,6.539575617222237498e+23,3.361234695251921123e+23,1.714988671456941881e+23
3.883883883883884252e-06,1.299710944389314875e+24,6.539804141768091411e+23,3.361357355167499692e+23,1.715053046290378087e+23
3.903903903903903885e-06,1.299711356615117152e+24,6.540028319052735458e+23,3.361477638897628726e+23,1.715116158507670810e+23
3.923923923923924365e-06,1.299711761971369422e+24,6.540248230149035320e+23,3.361595592384254700e+23,1.715178033122710252e+23
3.943943943943943999e-06,1.299712160523127016e+24,6.540463953957309215e+23,3.361711260298457362e+23,1.715238694441936046e+23
3.963963963963963632e-06,1.299712552334054503e+24,6.540675567269184662e+23,3.361824686079462794e+23,1.715298166086702622e+23
3.983983983983984112e-06,1.299712937466446089e+24,6.540883144829197709e+23,3.361935911972167337e+23,1.715356471014780893e+23
4.004004004004003746e-06,1.299713315981258366e+24,6.541086759394203067e+23,3.362044979063321348e+23,1.715413631541054286e+23
4.024024024024024226e-06,1.299713687938137693e+24,6.541286481790768293e+23,3.362151927316374136e+23,1.715469669357444043e+23
4.044044044044043859e-06,1.299714053395439252e+24,6.541482380970456735e+23,3.362256795605061945e+23,1.715524605552073491e+23
4.064064064064064340e-06,1.299714412410256044e+24,6.541674524063297186e+23,3.362359621745770538e+23,1.715578460627735067e+23
4.084084084084083973e-06,1.299714765038447877e+24,6.541862976429308730e+23,3.362460442528733431e+23,1.715631254519660402e+23
4.104104104104104453e-06,1.299715111334651835e+24,6.542047801708339811e+23,3.362559293748124855e+23,1.715683006612635438e+23
4.124124124124124087e-06,1.299715451352315297e+24,6.542229061868081937e+23,3.362656210231046082e+23,1.715733735757494773e+23
4.144144144144144567e-06,1.299715785143715799e+24,6.542406817250560023e+23,3.362751225865518553e+23,1.715783460287004321e+23
4.164164164164164200e-06,1.299716112759981706e+24,6.542581126616899366e+23,3.362844373627414658e+23,1.715832198031158102e+23
4.184184184184184681e-06,1.299716434251111268e+24,6.542752047190711531e+23,3.362935685606538928e+23,1.715879966331934144e+23
