x,t=1.00e+02s,t=1.70e+04s,t=8.00e+05s
3.001734693877551163e-03,4.335633865377458024e-10,3.491528691627692871e+12,2.039343750901915234e+13
3.001755102040816383e-03,4.002024889261688641e-10,3.222949474421380371e+12,1.882471154679040234e+13
3.001775510204081603e-03,3.668439597232039200e-10,2.954370278114739746e+12,1.725598558456203711e+13
3.001795918367346824e-03,3.334876015123453912e-10,2.685791100966140137e+12,1.568725962233402734e+13
3.001816326530612044e-03,3.001332168899027944e-10,2.417211941233935059e+12,1.411853366010635352e+13
3.001836734693877698e-03,2.667806084631255752e-10,2.148632797170780029e+12,1.254980769784563086e+13
3.001857142857142918e-03,2.334295788518748400e-10,1.880053667046451172e+12,1.098108173561852539e+13
3.001877551020408139e-03,2.000799306832037980e-10,1.611474549113599854e+12,9.412355773391644531e+12
3.001897959183673359e-03,1.667314665930297261e-10,1.342895441630587158e+12,7.843629811164953125e+12
3.001918367346938579e-03,1.333839892242584138e-10,1.074316342855772705e+12,6.274903848938435547e+12
3.001938775510203800e-03,1.000373012256199587e-10,8.057372510475174561e+11,4.706177886712041992e+12
3.001959183673469454e-03,6.669120524979573224e-11,5.371581644584736328e+11,3.137451924452415527e+12
3.001979591836734674e-03,3.334550395508730041e-11,2.685790813584170532e+11,1.568725962226191406e+12
3.001999999999999894e-03,0.000000000000000000e+00,2.228262019353041351e-05,8.913048077412165403e-05
