x,t=steady
2.170854271356783746e-08,1.580257007965058458e+19
2.185929648241205993e-08,1.580257007940840653e+19
2.201005025125628240e-08,1.580257007916579226e+19
2.216080402010050156e-08,1.580257007892288717e+19
2.231155778894472404e-08,1.580257007867981005e+19
2.246231155778894320e-08,1.580257007843659776e+19
2.261306532663316567e-08,1.580257007819332403e+19
2.276381909547738483e-08,1.580257007794998682e+19
2.291457286432160731e-08,1.580257007770661683e+19
2.306532663316582978e-08,1.580257007746323866e+19
2.321608040201004894e-08,1.580257007721981542e+19
2.336683417085427141e-08,1.580257007697640653e+19
2.351758793969849058e-08,1.580257007673297920e+19
2.366834170854271305e-08,1.580257007648955597e+19
2.381909547738693552e-08,1.580257007624613069e+19
2.396984924623115468e-08,1.580257007600270131e+19
2.412060301507537716e-08,1.580257007575925965e+19
2.427135678391959632e-08,1.580257007551583437e+19
2.442211055276381879e-08,1.580257007527238451e+19
2.457286432160804126e-08,1.580257007502895718e+19
2.472361809045226043e-08,1.580257007478550528e+19
2.487437185929648290e-08,1.580257007454206976e+19
2.502512562814070206e-08,1.580257007429862195e+19
2.517587939698492453e-08,1.580257007405518438e+19
2.532663316582914370e-08,1.580257007381174067e+19
2.547738693467336617e-08,1.580257007356829491e+19
2.562814070351758864e-08,1.580257007332486144e+19
2.577889447236180781e-08,1.580257007308140339e+19
2.592964824120603028e-08,1.580257007283796378e+19
2.608040201005024944e-08,1.580257007259450163e+19
2.623115577889447191e-08,1.580257007235106406e+19
2.638190954773869439e-08,1.580257007210760806e+19
2.653266331658291355e-08,1.580257007186417254e+19
2.668341708542713602e-08,1.580257007162071450e+19
2.683417085427135518e-08,1.580257007137726874e+19
2.698492462311557766e-08,1.580257007113381888e+19
2.713567839195979682e-08,1.580257007089036083e+19
2.728643216080401929e-08,1.580257007064690688e+19
2.743718592964824176e-08,1.580257007040345702e+19
2.758793969849246093e-08,1.580257007016000102e+19
2.773869346733668340e-08,1.580257006991655322e+19
2.788944723618090256e-08,1.580257006967309107e+19
2.804020100502512503e-08,1.580257006942963098e+19
2.819095477386934751e-08,1.580257006918617088e+19
2.834170854271356667e-08,1.580257006894271283e+19
2.849246231155778914e-08,1.580257006869925478e+19
2.864321608040200831e-08,1.580257006845580288e+19
2.879396984924623078e-08,1.580257006821233050e+19
2.894472361809044994e-08,1.580257006796888269e+19
2.909547738693467241e-08,1.580257006772542874e+19
2.924623115577889488e-08,1.580257006748196045e+19
2.939698492462311405e-08,1.580257006723849626e+19
2.954773869346733652e-08,1.580257006699504230e+19
2.969849246231155568e-08,1.580257006675157197e+19
2.984924623115577816e-08,1.580257006650812416e+19
2.999999999999999732e-08,1.580257006626465587e+19
3.993311036789297767e-08,1.580257005022298931e+19
4.986622073578595140e-08,1.580257003418126131e+19
5.979933110367892513e-08,1.580257001813945344e+19
6.973244147157189886e-08,1.580257000209758208e+19
7.966555183946487259e-08,1.580256998605562675e+19
8.959866220735785956e-08,1.580256997001360179e+19
9.953177257525084652e-08,1.580256995397150310e+19
1.094648829431438203e-07,1.580256993792932864e+19
1.193979933110367940e-07,1.580256992188707840e+19
1.293311036789297677e-07,1.580256990584474419e+19
1.392642140468227414e-07,1.580256988980234445e+19
1.491973244147157152e-07,1.580256987375987507e+19
1.591304347826087154e-07,1.580256985771732582e+19
1.690635451505016891e-07,1.580256984167471514e+19
1.789966555183946628e-07,1.580256982563202048e+19
1.889297658862876366e-07,1.580256980958925619e+19
1.988628762541806103e-07,1.580256979354641818e+19
2.087959866220735840e-07,1.580256977750351053e+19
2.187290969899665578e-07,1.580256976146052506e+19
2.286622073578595315e-07,1.580256974541748019e+19
