t (s), T (K), flux (H/m2/s)
2.082000000000000000e+03,5.559999999999984084e+02,6.182567771089461248e+18
2.082500000000000000e+03,5.599999999999995453e+02,6.266516012158532608e+18
2.083000000000000000e+03,5.639999999999980673e+02,6.296742673647166464e+18
2.083500000000000000e+03,5.679999999999986358e+02,6.260508083030124544e+18
2.084000000000000000e+03,5.719999999999970441e+02,6.151755649927450624e+18
2.084500000000000000e+03,5.759999999999974989e+02,5.970375914918343680e+18
2.085000000000000000e+03,5.800000000000025011e+02,5.720924930102438912e+18
2.085500000000000000e+03,5.840000000000023874e+02,5.411228407695537152e+18
2.086000000000000000e+03,5.880000000000022737e+02,5.051136286639438848e+18
2.086500000000000000e+03,5.920000000000025011e+02,4.651530334708424704e+18
2.087000000000000000e+03,5.960000000000009095e+02,4.223586195858978816e+18
2.087500000000000000e+03,6.000000000000018190e+02,3.778258507905750016e+18
2.088000000000000000e+03,6.040000000000022737e+02,3.325965718939318272e+18
2.088500000000000000e+03,6.080000000000026148e+02,2.876460852488906752e+18
2.089000000000000000e+03,6.120000000000032969e+02,2.438858014766182912e+18
2.089500000000000000e+03,6.160000000000013642e+02,2.021738986384312576e+18
2.090000000000000000e+03,6.200000000000017053e+02,1.633212130943520768e+18
2.090500000000000000e+03,6.240000000000018190e+02,1.280774591079136512e+18
2.091000000000000000e+03,6.280000000000003411e+02,9.708740815106641920e+17
2.091500000000000000e+03,6.320000000000002274e+02,7.081909206447619840e+17
2.092000000000000000e+03,6.360000000000007958e+02,4.948314317714024960e+17
2.092500000000000000e+03,6.399999999999997726e+02,3.297561913093623680e+17
2.093000000000000000e+03,6.439999999999994316e+02,2.087594445757177600e+17
2.093500000000000000e+03,6.479999999999996589e+02,1.251277572977440800e+17
2.094000000000000000e+03,6.519999999999977263e+02,7.081706384315717600e+16
2.094500000000000000e+03,6.559999999999984084e+02,3.776714381678731200e+16
2.095000000000000000e+03,6.599999999999980673e+02,1.895290410223930400e+16
2.095500000000000000e+03,6.639999999999969305e+02,8.942683307590817000e+15
2.096000000000000000e+03,6.679999999999979536e+02,3.966036167167954500e+15
2.096500000000000000e+03,6.719999999999978400e+02,1.653481035456743000e+15
2.097000000000000000e+03,6.759999999999986358e+02,6.483551574316913750e+14
2.097500000000000000e+03,6.799999999999989768e+02,2.393010179698668125e+14
2.098000000000000000e+03,6.839999999999985221e+02,8.322164378682192188e+13
2.098500000000000000e+03,6.879999999999972715e+02,2.730179199206139844e+13
2.099000000000000000e+03,6.919999999999965894e+02,8.459380693416486328e+12
2.099500000000000000e+03,6.959999999999973852e+02,2.478576410000901367e+12
2.100000000000000000e+03,6.999999999999960210e+02,6.875075760456920166e+11
