x,t=1.00e+00s,t=2.10e+00s,t=3.31e+00s,t=4.64e+00s,t=6.11e+00s,t=7.72e+00s,t=9.49e+00s,t=1.14e+01s,t=1.36e+01s,t=1.59e+01s,t=1.85e+01s,t=2.14e+01s,t=2.45e+01s,t=2.80e+01s,t=3.18e+01s,t=3.59e+01s,t=4.05e+01s,t=4.56e+01s,t=5.12e+01s,t=5.73e+01s,t=6.40e+01s,t=7.14e+01s,t=7.95e+01s,t=8.85e+01s,t=9.83e+01s,t=1.00e+02s
2.020202020202020268e-05,1.820559298840808704e+18,1.393591017679175475e+19,5.590665577662205952e+19,1.573483569685808742e+20,3.505907954250824417e+20,6.610207018830061896e+20,1.099941894950395445e+21,1.662319494926688322e+21,2.328950708474431930e+21,3.071159173145658130e+21,3.856057706587367670e+21,4.651068243712247595e+21,5.427122465519651783e+21,6.160502963643392983e+21,6.833569911891183010e+21,7.434707295918976139e+21,7.957795050492978528e+21,8.401435586752957907e+21,8.768079648686881112e+21,9.063131236625637442e+21,9.294072651461090607e+21,9.469635796734174036e+21,9.599045851983059616e+21,9.691367816669593338e+21,9.754986810342260081e+21,9.764691869635992093e+21
2.121212121212121129e-05,1.975126673373125120e+18,1.492041513289642803e+19,5.915782265339547648e+19,1.648025870701969736e+20,3.639885144555006853e+20,6.812133355757789512e+20,1.126581555071014797e+21,1.694005310783104483e+21,2.363660355589286920e+21,3.106733992372721418e+21,3.890580448079184396e+21,4.683075047847203176e+21,5.455664781676092850e+21,6.185107366804002439e+21,6.854145683676485124e+21,7.451439280740394598e+21,7.971044188683059069e+21,8.411657283542836052e+21,8.775762265982998938e+21,9.068752935841619247e+21,9.298073340159376490e+21,9.472400857048817861e+21,9.600898799869190210e+21,9.692569572233600565e+21,9.755739662197530296e+21,9.765376236468222034e+21
2.222222222222222329e-05,2.147045898463675904e+18,1.600244442553530982e+19,6.269423229695387238e+19,1.728397623710305485e+20,3.783285410418018877e+20,7.026975388175478292e+20,1.154790411727416328e+21,1.727432755446463857e+21,2.400173352771476521e+21,3.144076778562495971e+21,3.926761468096672170e+21,4.716580826256515793e+21,5.485519527265589789e+21,6.210828598116859511e+21,6.875647175852220744e+21,7.468919612263779795e+21,7.984883633747842302e+21,8.422333303657023406e+21,8.783785849493300183e+21,9.074623917250782953e+21,9.302251342302046847e+21,9.475288432973629620e+21,9.602833836889239192e+21,9.693824563779458826e+21,9.756525862986153198e+21,9.766090918342894289e+21
2.323232323232323190e-05,2.338223927680860160e+18,1.719097431866428621e+19,6.653742677462543565e+19,1.814950795435393024e+20,3.936548535243071816e+20,7.255178467449081692e+20,1.184605935660902646e+21,1.762627770529263649e+21,2.438503224129193247e+21,3.183190347761549050e+21,3.964595820120783192e+21,4.751575951444215333e+21,5.516674977491093291e+21,6.237654691516870820e+21,6.898063334101618786e+21,7.487138739641911345e+21,7.999305536788628505e+21,8.433457453414108627e+21,8.792145680804068983e+21,9.080740700862419042e+21,9.306604170225620353e+21,9.478296800912555901e+21,9.604849806482820039e+21,9.695132040690126553e+21,9.757344942315400069e+21,9.766835487629700497e+21
2.424242424242424051e-05,2.550796125822036480e+18,1.849589875115930010e+19,7.071081115543377510e+19,1.908062868011621089e+20,4.100140746738011996e+20,7.497209796949649654e+20,1.216067044139215356e+21,1.799616998135438770e+21,2.478663598646195388e+21,3.224077221164372460e+21,4.004078038736981983e+21,4.788050184728539562e+21,5.549118791606198075e+21,6.265573112126788076e+21,6.921382608682783605e+21,7.506086699121828168e+21,8.014301717020133032e+21,8.445023280755211502e+21,8.800836846256074523e+21,9.087099663366955729e+21,9.311129234091639046e+21,9.481424166582252208e+21,9.606945504695041393e+21,9.696491221601822441e+21,9.758196410528326222e+21,9.767609499186070815e+21
2.525252525252525250e-05,2.787153257478220800e+18,1.992811702639230566e+19,7.523978984106152755e+19,2.008138125730058404e+20,4.274555412296031273e+20,7.753558403387017134e+20,1.249214045863461519e+21,1.838427704800735396e+21,2.520668138098309726e+21,3.266739569836854608e+21,4.045202103891738493e+21,4.825992657088143163e+21,5.582838005483852268e+21,6.294570755935510200e+21,6.945592957725240721e+21,7.525753118684266627e+21,8.029863666457235161e+21,8.457024079353939493e+21,8.809854240260878238e+21,9.093697040661207843e+21,9.315823843723870994e+21,9.484668666297295307e+21,9.609119681043304022e+21,9.697901294968073355e+21,9.759079759057690558e+21,9.768412490679007052e+21
2.626262626262626111e-05,3.049971814816215040e+18,2.149963024859277312e+19,8.015191315746635776e+19,2.115609002208104940e+20,4.460313732360478392e+20,8.024735063253593620e+20,1.284088580167232127e+21,1.879087700573562077e+21,2.564530461663667683e+21,3.311179157552513417e+21,4.087961404263694336e+21,4.865391849727098618e+21,5.617819024223574688e+21,6.324633949658854457e+21,6.970681850753854734e+21,7.546127222904726749e+21,8.045982554794821157e+21,8.469452892883434602e+21,8.819192568738892218e+21,9.100528930464179683e+21,9.320685210510716568e+21,9.488028368300637422e+21,9.611371039414456156e+21,9.699361419643458683e+21,9.759994460792254628e+21,9.769243982918160744e+21
2.727272727272727311e-05,3.342248093822009856e+18,2.322364730368358400e+19,8.547703474038913434e+19,2.230937486610757386e+20,4.657965425824826655e+20,8.311272178211971400e+20,1.320733550129880236e+21,1.921625253119521980e+21,2.610264067275899273e+21,3.357397281854926619e+21,4.132348699863214457e+21,4.906235574446624604e+21,5.654047614855734624e+21,6.355748450817531707e+21,6.996636272459124834e+21,7.567197838045717987e+21,8.062649234485044838e+21,8.482302519442241749e+21,8.828846352679611400e+21,9.107591295023531950e+21,9.325710449372548825e+21,9.491501274139134525e+21,9.613698238992296706e+21,9.700870725487067922e+21,9.760939970455431807e+21,9.770103480200141472e+21
2.828282828282828172e-05,3.667336479881505280e+18,2.511470125326649754e+19,9.124748025963143168e+19,2.354616587032787354e+20,4.868089400891274035e+20,8.613723592896086016e+20,1.359193049217742406e+21,1.966068996738609316e+21,2.657882249777512972e+21,3.405394713465023627e+21,4.178356083976051360e+21,4.948510953910917136e+21,5.691508899199489933e+21,6.387899448065207042e+21,7.023442726730980131e+21,7.588953397387976507e+21,8.079854246014976262e+21,8.495565516139750490e+21,8.838809931823966061e+21,9.114879963912276541e+21,9.330896580793604243e+21,9.495085320083825754e+21,9.616099895215074050e+21,9.702428313985415643e+21,9.761915724996089479e+21,9.770990470663889748e+21
2.929292929292929372e-05,4.028992461680559104e+18,2.718877708650082304e+19,9.749822803480172954e+19,2.487171848556620677e+20,5.091294404143581102e+20,8.932664348238259159e+20,1.399512281061554389e+21,2.012447836192654230e+21,2.707398015940791108e+21,3.455171634158448935e+21,4.225974944569601556e+21,4.992204401894986088e+21,5.730187346930618597e+21,6.421071561798306497e+21,7.051087240971825447e+21,7.611381946807459250e+21,8.097587823386733576e+21,8.509234203841151369e+21,8.849077468467923255e+21,9.122390636914776474e+21,9.336240532917717041e+21,9.498778378594458534e+21,9.618574580762621772e+21,9.704033258894604108e+21,9.762921143991485334e+21,9.771904426657030603e+21
